ENSDARG00000000001	218
ENSDARG00000000002	349
ENSDARG00000000018	377
ENSDARG00000000019	1381
ENSDARG00000000068	1086
ENSDARG00000000069	840
ENSDARG00000000086	798
ENSDARG00000000103	2346
ENSDARG00000000142	66
ENSDARG00000000151	153
ENSDARG00000000161	344
ENSDARG00000000175	102
ENSDARG00000000183	643
ENSDARG00000000189	635
ENSDARG00000000212	8386
ENSDARG00000000229	137
ENSDARG00000000241	1134
ENSDARG00000000324	603
ENSDARG00000000349	7
ENSDARG00000000369	163
ENSDARG00000000370	1244
ENSDARG00000000380	646
ENSDARG00000000394	1767
ENSDARG00000000423	120
ENSDARG00000000442	200
ENSDARG00000000460	7
ENSDARG00000000472	370
ENSDARG00000000474	8
ENSDARG00000000476	148
ENSDARG00000000489	744
ENSDARG00000000503	3812
ENSDARG00000000516	13
ENSDARG00000000529	211
ENSDARG00000000540	545
ENSDARG00000000542	270
ENSDARG00000000551	790
ENSDARG00000000563	29793
ENSDARG00000000567	138
ENSDARG00000000568	539
ENSDARG00000000588	203
ENSDARG00000000606	72
ENSDARG00000000631	689
ENSDARG00000000638	0
ENSDARG00000000651	48
ENSDARG00000000656	119
ENSDARG00000000666	705
ENSDARG00000000690	120
ENSDARG00000000729	343
ENSDARG00000000730	271
ENSDARG00000000747	118
ENSDARG00000000760	120
ENSDARG00000000767	153
ENSDARG00000000779	915
ENSDARG00000000796	463
ENSDARG00000000804	341
ENSDARG00000000830	289
ENSDARG00000000837	314
ENSDARG00000000853	1670
ENSDARG00000000857	599
ENSDARG00000000861	1741
ENSDARG00000000887	23
ENSDARG00000000906	174
ENSDARG00000000935	143
ENSDARG00000000943	448
ENSDARG00000000966	1867
ENSDARG00000001014	2972
ENSDARG00000001015	352
ENSDARG00000001057	2425
ENSDARG00000001127	322
ENSDARG00000001129	659
ENSDARG00000001154	557
ENSDARG00000001162	2004
ENSDARG00000001169	135
ENSDARG00000001210	316
ENSDARG00000001220	2273
ENSDARG00000001234	572
ENSDARG00000001241	1817
ENSDARG00000001244	3478
ENSDARG00000001249	110
ENSDARG00000001259	18
ENSDARG00000001303	239
ENSDARG00000001313	107
ENSDARG00000001354	334
ENSDARG00000001414	199
ENSDARG00000001431	6516
ENSDARG00000001437	617
ENSDARG00000001442	185
ENSDARG00000001447	172
ENSDARG00000001452	235
ENSDARG00000001463	1323
ENSDARG00000001470	155
ENSDARG00000001498	47
ENSDARG00000001549	52
ENSDARG00000001557	359
ENSDARG00000001558	280
ENSDARG00000001559	319
ENSDARG00000001572	28
ENSDARG00000001578	1019
ENSDARG00000001621	180
ENSDARG00000001634	269
ENSDARG00000001656	185
ENSDARG00000001676	283
ENSDARG00000001686	92
ENSDARG00000001710	1238
ENSDARG00000001712	102
ENSDARG00000001721	30
ENSDARG00000001729	1467
ENSDARG00000001733	266
ENSDARG00000001734	506
ENSDARG00000001754	460
ENSDARG00000001760	311
ENSDARG00000001767	175
ENSDARG00000001769	283
ENSDARG00000001771	14
ENSDARG00000001776	94
ENSDARG00000001777	615
ENSDARG00000001781	107
ENSDARG00000001782	49
ENSDARG00000001785	359
ENSDARG00000001788	6580
ENSDARG00000001803	171
ENSDARG00000001804	146
ENSDARG00000001807	295
ENSDARG00000001817	13
ENSDARG00000001818	959
ENSDARG00000001825	35
ENSDARG00000001829	1681
ENSDARG00000001835	702
ENSDARG00000001857	505
ENSDARG00000001859	70
ENSDARG00000001870	9276
ENSDARG00000001873	2535
ENSDARG00000001879	472
ENSDARG00000001880	381
ENSDARG00000001881	42
ENSDARG00000001882	937
ENSDARG00000001888	166
ENSDARG00000001889	2827
ENSDARG00000001890	967
ENSDARG00000001891	205
ENSDARG00000001897	1213
ENSDARG00000001898	216
ENSDARG00000001906	20
ENSDARG00000001909	282
ENSDARG00000001910	1938
ENSDARG00000001912	63
ENSDARG00000001913	153
ENSDARG00000001929	502
ENSDARG00000001930	310
ENSDARG00000001933	262
ENSDARG00000001937	106
ENSDARG00000001939	184
ENSDARG00000001940	1089
ENSDARG00000001950	12220
ENSDARG00000001953	1828
ENSDARG00000001968	110
ENSDARG00000001969	245
ENSDARG00000001971	24
ENSDARG00000001975	351
ENSDARG00000001976	317
ENSDARG00000001993	2124
ENSDARG00000001994	3743
ENSDARG00000001999	169
ENSDARG00000002002	177
ENSDARG00000002006	310
ENSDARG00000002013	144
ENSDARG00000002016	429
ENSDARG00000002020	370
ENSDARG00000002021	702
ENSDARG00000002026	84
ENSDARG00000002031	320
ENSDARG00000002037	246
ENSDARG00000002060	22
ENSDARG00000002071	299
ENSDARG00000002077	122
ENSDARG00000002082	2279
ENSDARG00000002084	1298
ENSDARG00000002097	7
ENSDARG00000002127	780
ENSDARG00000002128	327
ENSDARG00000002131	997
ENSDARG00000002165	818
ENSDARG00000002167	306
ENSDARG00000002168	705
ENSDARG00000002172	296
ENSDARG00000002174	193
ENSDARG00000002184	407
ENSDARG00000002190	1012
ENSDARG00000002192	327
ENSDARG00000002193	13188
ENSDARG00000002194	16
ENSDARG00000002196	600
ENSDARG00000002197	486
ENSDARG00000002204	860
ENSDARG00000002210	264
ENSDARG00000002213	293
ENSDARG00000002215	267
ENSDARG00000002216	325
ENSDARG00000002217	649
ENSDARG00000002219	60
ENSDARG00000002220	373
ENSDARG00000002230	2111
ENSDARG00000002231	76
ENSDARG00000002235	1066
ENSDARG00000002240	1794
ENSDARG00000002241	24
ENSDARG00000002249	591
ENSDARG00000002255	745
ENSDARG00000002259	183
ENSDARG00000002264	393
ENSDARG00000002267	727
ENSDARG00000002271	2395
ENSDARG00000002285	125
ENSDARG00000002293	284
ENSDARG00000002295	300
ENSDARG00000002298	104
ENSDARG00000002299	99
ENSDARG00000002300	85
ENSDARG00000002304	61
ENSDARG00000002305	1836
ENSDARG00000002311	8
ENSDARG00000002330	137
ENSDARG00000002332	386
ENSDARG00000002333	299
ENSDARG00000002336	739
ENSDARG00000002339	421
ENSDARG00000002344	9733
ENSDARG00000002347	2
ENSDARG00000002353	114
ENSDARG00000002355	24
ENSDARG00000002362	601
ENSDARG00000002365	440
ENSDARG00000002369	3847
ENSDARG00000002377	121
ENSDARG00000002385	305
ENSDARG00000002391	355
ENSDARG00000002394	122
ENSDARG00000002396	1638
ENSDARG00000002401	412
ENSDARG00000002402	547
ENSDARG00000002403	307
ENSDARG00000002405	270
ENSDARG00000002406	38
ENSDARG00000002411	129
ENSDARG00000002445	375
ENSDARG00000002463	119
ENSDARG00000002467	355
ENSDARG00000002479	212
ENSDARG00000002483	38
ENSDARG00000002487	719
ENSDARG00000002494	451
ENSDARG00000002506	517
ENSDARG00000002507	365
ENSDARG00000002508	82
ENSDARG00000002509	94
ENSDARG00000002510	30
ENSDARG00000002523	1654
ENSDARG00000002533	38
ENSDARG00000002536	899
ENSDARG00000002538	849
ENSDARG00000002546	623
ENSDARG00000002549	291
ENSDARG00000002552	664
ENSDARG00000002564	555
ENSDARG00000002571	167
ENSDARG00000002576	180
ENSDARG00000002582	297
ENSDARG00000002587	1661
ENSDARG00000002589	10123
ENSDARG00000002591	737
ENSDARG00000002593	512
ENSDARG00000002597	4
ENSDARG00000002600	414
ENSDARG00000002601	99
ENSDARG00000002607	256
ENSDARG00000002609	247
ENSDARG00000002613	148
ENSDARG00000002632	2637
ENSDARG00000002634	80
ENSDARG00000002635	807
ENSDARG00000002642	353
