ENSDARG00000000001	343
ENSDARG00000000002	274
ENSDARG00000000018	486
ENSDARG00000000019	1682
ENSDARG00000000068	730
ENSDARG00000000069	926
ENSDARG00000000086	1375
ENSDARG00000000103	2643
ENSDARG00000000142	92
ENSDARG00000000151	171
ENSDARG00000000161	516
ENSDARG00000000175	162
ENSDARG00000000183	772
ENSDARG00000000189	850
ENSDARG00000000212	14408
ENSDARG00000000229	171
ENSDARG00000000241	1552
ENSDARG00000000324	849
ENSDARG00000000349	9
ENSDARG00000000369	186
ENSDARG00000000370	1810
ENSDARG00000000380	545
ENSDARG00000000394	2007
ENSDARG00000000423	66
ENSDARG00000000442	133
ENSDARG00000000460	4
ENSDARG00000000472	483
ENSDARG00000000474	5
ENSDARG00000000476	220
ENSDARG00000000489	877
ENSDARG00000000503	4930
ENSDARG00000000516	11
ENSDARG00000000529	287
ENSDARG00000000540	519
ENSDARG00000000542	241
ENSDARG00000000551	149
ENSDARG00000000563	44570
ENSDARG00000000567	157
ENSDARG00000000568	666
ENSDARG00000000588	142
ENSDARG00000000606	119
ENSDARG00000000631	1000
ENSDARG00000000638	1
ENSDARG00000000651	79
ENSDARG00000000656	15
ENSDARG00000000666	975
ENSDARG00000000690	70
ENSDARG00000000729	344
ENSDARG00000000730	294
ENSDARG00000000747	79
ENSDARG00000000760	149
ENSDARG00000000767	139
ENSDARG00000000779	924
ENSDARG00000000796	1012
ENSDARG00000000804	249
ENSDARG00000000830	312
ENSDARG00000000837	438
ENSDARG00000000853	2408
ENSDARG00000000857	517
ENSDARG00000000861	2286
ENSDARG00000000887	20
ENSDARG00000000906	146
ENSDARG00000000935	213
ENSDARG00000000943	581
ENSDARG00000000966	3145
ENSDARG00000001014	2226
ENSDARG00000001015	494
ENSDARG00000001057	2580
ENSDARG00000001127	377
ENSDARG00000001129	879
ENSDARG00000001154	835
ENSDARG00000001162	2353
ENSDARG00000001169	112
ENSDARG00000001210	280
ENSDARG00000001220	3435
ENSDARG00000001234	511
ENSDARG00000001241	1747
ENSDARG00000001244	5462
ENSDARG00000001249	119
ENSDARG00000001259	19
ENSDARG00000001303	35
ENSDARG00000001313	44
ENSDARG00000001354	421
ENSDARG00000001414	174
ENSDARG00000001431	8632
ENSDARG00000001437	467
ENSDARG00000001442	369
ENSDARG00000001447	245
ENSDARG00000001452	147
ENSDARG00000001463	2062
ENSDARG00000001470	103
ENSDARG00000001498	30
ENSDARG00000001549	60
ENSDARG00000001557	180
ENSDARG00000001558	217
ENSDARG00000001559	522
ENSDARG00000001572	4
ENSDARG00000001578	1163
ENSDARG00000001621	275
ENSDARG00000001634	370
ENSDARG00000001656	11
ENSDARG00000001676	337
ENSDARG00000001686	181
ENSDARG00000001710	1665
ENSDARG00000001712	144
ENSDARG00000001721	105
ENSDARG00000001729	1631
ENSDARG00000001733	294
ENSDARG00000001734	454
ENSDARG00000001754	469
ENSDARG00000001760	151
ENSDARG00000001767	70
ENSDARG00000001769	440
ENSDARG00000001771	30
ENSDARG00000001776	63
ENSDARG00000001777	642
ENSDARG00000001781	118
ENSDARG00000001782	37
ENSDARG00000001785	439
ENSDARG00000001788	7010
ENSDARG00000001803	227
ENSDARG00000001804	191
ENSDARG00000001807	399
ENSDARG00000001817	17
ENSDARG00000001818	1735
ENSDARG00000001825	52
ENSDARG00000001829	2527
ENSDARG00000001835	993
ENSDARG00000001857	572
ENSDARG00000001859	61
ENSDARG00000001870	14128
ENSDARG00000001873	512
ENSDARG00000001879	565
ENSDARG00000001880	340
ENSDARG00000001881	62
ENSDARG00000001882	1457
ENSDARG00000001888	213
ENSDARG00000001889	2073
ENSDARG00000001890	794
ENSDARG00000001891	216
ENSDARG00000001897	1452
ENSDARG00000001898	207
ENSDARG00000001906	21
ENSDARG00000001909	240
ENSDARG00000001910	2604
ENSDARG00000001912	91
ENSDARG00000001913	126
ENSDARG00000001929	670
ENSDARG00000001930	335
ENSDARG00000001933	219
ENSDARG00000001937	117
ENSDARG00000001939	194
ENSDARG00000001940	1360
ENSDARG00000001950	13518
ENSDARG00000001953	2415
ENSDARG00000001968	112
ENSDARG00000001969	343
ENSDARG00000001971	3
ENSDARG00000001975	428
ENSDARG00000001976	398
ENSDARG00000001993	3432
ENSDARG00000001994	5151
ENSDARG00000001999	230
ENSDARG00000002002	443
ENSDARG00000002006	354
ENSDARG00000002013	183
ENSDARG00000002016	387
ENSDARG00000002020	415
ENSDARG00000002021	679
ENSDARG00000002026	120
ENSDARG00000002031	354
ENSDARG00000002037	331
ENSDARG00000002060	23
ENSDARG00000002071	388
ENSDARG00000002077	108
ENSDARG00000002082	2212
ENSDARG00000002084	1322
ENSDARG00000002097	3
ENSDARG00000002127	1051
ENSDARG00000002128	397
ENSDARG00000002131	1251
ENSDARG00000002165	342
ENSDARG00000002167	387
ENSDARG00000002168	742
ENSDARG00000002172	279
ENSDARG00000002174	213
ENSDARG00000002184	444
ENSDARG00000002190	1109
ENSDARG00000002192	147
ENSDARG00000002193	14486
ENSDARG00000002194	21
ENSDARG00000002196	736
ENSDARG00000002197	1638
